category,subcategory,note,amount,income_expense,currency,year,month,day,grouped_mode
Share Market,Unknown,Unknown,30000.0,Transfer-Out,INR,2018,1,27,Saving Bank account 1
Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR,2018,1,26,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2018,1,26,Cash
Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,Expense,INR,2018,1,26,Credit Card
Food,Rajgira ladu,1 packet,20.0,Expense,INR,2018,1,26,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,26,Saving Bank account 1
Food,Potato,potato 1kg,25.0,Expense,INR,2018,1,26,Cash
Household,Kirana,Idli pith 1kg,38.0,Expense,INR,2018,1,26,Cash
Food,Lunch,Catering Service,70.0,Expense,INR,2018,1,25,Cash
Saving Bank account 1,Unknown,Unknown,97.14,Transfer-Out,INR,2018,1,24,Share Market Trading
Food,Milk,Half lit  milk,35.0,Expense,INR,2018,1,24,Cash
Household,Kirana,Smart point,273.0,Expense,INR,2018,1,23,Credit Card
Food,flour mill,2 kg Bajari,14.0,Expense,INR,2018,1,22,Saving Bank account 1
Food,flour mill,M D sure 3kg atta,162.0,Expense,INR,2018,1,22,Cash
Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30.0,Expense,INR,2018,1,22,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,22,Saving Bank account 1
Food,Dinner,Home Food Delivery,384.0,Expense,INR,2018,1,21,Credit Card
Amazon pay cashback,Unknown,Unknown,2.0,Income,INR,2018,1,20,Saving Bank account 1
Food,Biscuits,crack-jack 1 packi,10.0,Expense,INR,2018,1,20,Saving Bank account 1
Food,Bread,Unknown,45.0,Expense,INR,2018,1,20,Saving Bank account 1
subscription,Tata Sky,Permanent Residence - Tata Play recharge,179.0,Expense,INR,2018,1,20,Credit Card
Food,Bread,Flatbread 6 pcs,17.0,Expense,INR,2018,1,19,Saving Bank account 1
Household,Kirana,Amul butter,53.0,Expense,INR,2018,1,19,Saving Bank account 1
Food,Bread,Flatbread 6 pcs,20.0,Expense,INR,2018,1,19,Cash
Household,Kirana,Cakes,46.0,Expense,INR,2018,1,19,Cash
Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,Expense,INR,2018,1,18,Saving Bank account 1
Food,Lunch,Fresh veggie pizza,219.0,Expense,INR,2018,1,18,Credit Card
Food,Eggs,6 eggs,42.0,Expense,INR,2018,1,18,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,18,Saving Bank account 1
Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,165.0,Expense,INR,2018,1,16,Cash
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,16,Saving Bank account 1
Social Life,Leisure,Marathon,298.0,Expense,INR,2018,1,16,Credit Card
Food,Sweets,Chitale Srikhand,284.0,Expense,INR,2018,1,15,Credit Card
Food,Grocery,onion 1 kg + half kg potato,38.0,Expense,INR,2018,1,15,Cash
Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR,2018,1,15,Cash
Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266.0,Expense,INR,2018,1,15,Saving Bank account 1
Transportation,Train,Place 0 to Santacruz return,40.0,Expense,INR,2018,1,14,Cash
Household,Hardware,Vibrating electronic message tool,798.0,Expense,INR,2018,1,14,Credit Card
Transportation,auto,station to Decathlon,20.0,Expense,INR,2018,1,14,Cash
Transportation,auto,Decathlon to station,25.0,Expense,INR,2018,1,14,Cash
Apparel,Clothing,Head band,199.0,Expense,INR,2018,1,14,Credit Card
Transportation,auto,Pali hill to Bandra station,23.0,Expense,INR,2018,1,14,Cash
Transportation,auto,mumbai University Kalina to Santacruz station,40.0,Expense,INR,2018,1,14,Cash
Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,2018,1,14,Cash
Health,Medicine,Thyroid Tablets,740.0,Expense,INR,2018,1,13,Cash
Apparel,Laundry,clothes ironing,80.0,Expense,INR,2018,1,13,Saving Bank account 1
Food,Bread,Flatbread 24 pcs,30.0,Expense,INR,2017,12,31,Cash
Salary,Unknown,From workplace ,64623.0,Income,INR,2017,12,31,Saving Bank account 1
Interest,Unknown,interest paid,594.0,Income,INR,2017,12,31,Saving Bank account 1
Food,vegetables,Dudhi 20 + mirchi 5,25.0,Expense,INR,2017,12,30,Cash
Family,misc,For utensils,450.0,Expense,INR,2017,12,29,Saving Bank account 1
Food,snacks,3 pavwada,30.0,Expense,INR,2017,12,29,Cash
Household,Kirana,Unknown,182.0,Expense,INR,2017,12,29,Cash
Food,flour mill,Unknown,5.0,Expense,INR,2017,12,29,Cash
subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR,2017,12,29,Saving Bank account 1
Food,vegetables,Ginger,10.0,Expense,INR,2017,12,28,Cash
Food,Grocery,Tata salt 28+ 6 eggs 42,70.0,Expense,INR,2017,12,27,Cash
Fixed Deposit,Unknown,Unknown,250000.0,Transfer-Out,INR,2017,12,26,Saving Bank account 1
Saving Bank account 1,Unknown,Unknown,150000.0,Transfer-Out,INR,2017,12,26,Deposit
subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749.0,Expense,INR,2017,12,26,Credit Card
subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR,2017,12,25,Credit Card
subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR,2017,12,25,Saving Bank account 1
Transportation,auto,Place 2 station to Permanent Residence,80.0,Expense,INR,2017,12,25,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,2017,12,24,Saving Bank account 1
Gift,Unknown,Birthday gift,1364.0,Expense,INR,2017,12,24,Credit Card
Food,snacks,Gupta bhel,25.0,Expense,INR,2017,12,24,Cash
Household,Toiletries,Toothbrush (buy 2 get 1),100.0,Expense,INR,2017,12,24,Cash
Food,Milk,Half lit  milk,35.0,Expense,INR,2017,12,24,Saving Bank account 1
Gift,Unknown,Birthday gift,798.0,Expense,INR,2017,12,23,Credit Card
Food,Lunch,Home Food Delivery,380.0,Expense,INR,2017,12,22,Saving Bank account 1
Food,snacks,Vadapav,15.0,Expense,INR,2017,12,21,Saving Bank account 1
Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,Expense,INR,2017,12,21,Cash
Food,Lunch,Catering Service,65.0,Expense,INR,2017,12,21,Cash
Food,Milk,milk 1lit ,70.0,Expense,INR,2017,12,21,Cash
Food,Lunch,Catering Service,95.0,Expense,INR,2017,12,20,Cash
subscription,Edtech Course,Renewal,28400.0,Expense,INR,2017,12,20,Credit Card
Gpay Reward,Unknown,Unknown,6.0,Income,INR,2017,12,19,Saving Bank account 1
Family,Pocket money,Unknown,500.0,Expense,INR,2017,12,19,Cash
Food,snacks,Chicken Frankie,45.0,Expense,INR,2017,12,19,Cash
Saving Bank account 1,Unknown,Fund Withdrawal,108.96,Transfer-Out,INR,2017,12,19,Share Market Trading
Transportation,Train,Place 0 to WS return,10.0,Expense,INR,2017,12,19,Cash
Food,Milk,milk 1lit ,69.0,Expense,INR,2017,12,19,Saving Bank account 1
Apparel,Clothing,undergarment single,312.0,Expense,INR,2017,12,18,Credit Card
Food,Dinner,At restaurant,505.0,Expense,INR,2017,12,17,Credit Card
Transportation,auto,within city,30.0,Expense,INR,2017,12,17,Cash
Household,Kirana,Dmart,878.0,Expense,INR,2017,12,17,Credit Card
Food,Tea,2 cutting chai,20.0,Expense,INR,2017,12,17,Cash
Transportation,auto,college to inorbit,25.0,Expense,INR,2017,12,17,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2017,12,17,Cash
Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,2017,12,17,Cash
Food,Milk,milk 1lit ,69.0,Expense,INR,2017,12,16,Saving Bank account 1
Other,Unknown,Nosebud,10.0,Expense,INR,2017,12,15,Cash
Food,Ice cream,chocobar,15.0,Expense,INR,2017,12,15,Cash
Petty cash,Unknown,From Family,3000.0,Income,INR,2017,12,14,Saving Bank account 1
Food,Grocery,Paneer + 1 kg onion,145.0,Expense,INR,2017,12,14,Cash
Apparel,Laundry,clothes ironing,98.0,Expense,INR,2017,12,13,Cash
Family,Pocket money,Unknown,20.0,Expense,INR,2017,12,13,Cash
Food,Milk,milk 1lit ,69.0,Expense,INR,2017,12,13,Saving Bank account 1
Health,Medicine,5 Meftal spas,22.0,Expense,INR,2017,11,30,Saving Bank account 1
Health,Health,Glasses remaining,800.0,Expense,INR,2017,11,30,Saving Bank account 1
Health,Health,Family's Glasses,22700.0,Expense,INR,2017,11,30,Credit Card
Money transfer,Home,Unknown,10000.0,Expense,INR,2017,11,30,Saving Bank account 1
Saving Bank account 2,Unknown,Unknown,77.33,Transfer-Out,INR,2017,11,30,Saving Bank account 1
Family,Pocket money,Change,50.0,Expense,INR,2017,11,30,Cash
Salary,Unknown,From workplace ,64636.0,Income,INR,2017,11,30,Saving Bank account 1
Food,Bread,Sweet bread cake pav kg,90.0,Expense,INR,2017,11,28,Saving Bank account 1
Food,Eggs,6 eggs,42.0,Expense,INR,2017,11,28,Saving Bank account 1
Food,Bread,Unknown,18.0,Expense,INR,2017,11,28,Saving Bank account 1
Household,Kirana,Toast+ biscuits,115.0,Expense,INR,2017,11,28,Credit Card
Food,vegetables,Unknown,140.0,Expense,INR,2017,11,28,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2017,11,28,Saving Bank account 1
Health,Health,Glasses advance,1000.0,Expense,INR,2017,11,27,Saving Bank account 1
Gpay Reward,Unknown,Unknown,7.0,Income,INR,2017,11,27,Saving Bank account 1
Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,2017,11,27,Cash
Transportation,auto,Place 6 station to  mall,30.0,Expense,INR,2017,11,27,Cash
Transportation,Train,1 Place 0 to Place 6,5.0,Expense,INR,2017,11,27,Cash
Apparel,Footwear,Sandals Hush puppies,2699.0,Expense,INR,2017,11,27,Credit Card
Gpay Reward,Unknown,Unknown,8.0,Income,INR,2017,11,26,Saving Bank account 1
Transportation,auto,eye institute to Place 6 station,40.0,Expense,INR,2017,11,26,Cash
Health,Medicine,eye drop,159.0,Expense,INR,2017,11,26,Credit Card
Transportation,auto,Place 6 station to eye institute,40.0,Expense,INR,2017,11,26,Cash
Health,Hospital,"Routine checkup - eye institute, Place 6",400.0,Expense,INR,2017,11,26,Saving Bank account 1
Transportation,Train,1 Place 0 to Place 6 return,10.0,Expense,INR,2017,11,26,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR,2017,11,25,Credit Card
Food,Milk,1 lit ,69.0,Expense,INR,2017,11,25,Saving Bank account 1
Apparel,Laundry,clothes ironing : Rs 6 per item,90.0,Expense,INR,2017,11,25,Cash
Food,vegetables,Half kg tomato,10.0,Expense,INR,2017,11,25,Cash
Culture,Movie,2 PVR Place 6,314.0,Expense,INR,2017,11,24,Credit Card
Food,Bread,Flatbread 8 pcs,23.0,Expense,INR,2017,11,23,Cash
Food,Grocery,Dahi + remaining balance,17.0,Expense,INR,2017,11,23,Cash
Food,flour mill,3 kg Bajari,21.0,Expense,INR,2017,11,23,Cash
Food,Milk,1 lit ,69.0,Expense,INR,2017,11,23,Saving Bank account 1
Food,Milk,milk 1lit ,70.0,Expense,INR,2017,11,20,Saving Bank account 1
scrap,Unknown,Unknown,200.0,Income,INR,2017,11,20,Cash
Food,snacks,1 Panipuri,20.0,Expense,INR,2017,11,19,Saving Bank account 1
Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,2017,11,19,Cash
Transportation,Train,2 Place 0 to Place 6 return,20.0,Expense,INR,2017,11,19,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,2017,11,19,Cash
Culture,Movie,2 PVR Place 6,436.0,Expense,INR,2017,11,19,Credit Card
Household,Kirana,Khobra + shengdana+ vim bar,242.0,Expense,INR,2017,11,18,Credit Card
Food,Eggs,6 eggs,39.0,Expense,INR,2017,11,18,Saving Bank account 1
subscription,Mahanagar Gas,Unknown,147.0,Expense,INR,2017,11,18,Saving Bank account 1
Self-development,Unknown,Marathon,950.0,Expense,INR,2017,11,18,Saving Bank account 1
Food,Milk,1.5 lit milk ,104.0,Expense,INR,2017,11,18,Saving Bank account 1
Food,Ice cream,Vanila family pack,105.0,Expense,INR,2017,11,17,Saving Bank account 1
Household,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,INR,2017,11,17,Saving Bank account 1
Food,flour mill,4 kg Gehu,28.0,Expense,INR,2017,11,17,Saving Bank account 1
Food,Milk,1 lit ,70.0,Expense,INR,2017,11,16,Saving Bank account 1
Food,Dinner,Home Food Delivery,524.0,Expense,INR,2017,11,15,Credit Card
Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,Expense,INR,2017,11,15,Saving Bank account 1
Education,Stationary,Photo paper print,45.0,Expense,INR,2017,11,15,Saving Bank account 1
Food,Bread,brown bread,25.0,Expense,INR,2017,11,15,Saving Bank account 1
Household,Kirana,Amul butter 52 + Good Day biscuits 43,95.0,Expense,INR,2017,11,15,Credit Card
Food,fruits,Unknown,125.0,Expense,INR,2017,11,14,Cash
Family,Pocket money,Unknown,770.0,Expense,INR,2017,11,14,Cash
Food,Grocery,vegetables,160.0,Expense,INR,2017,11,14,Saving Bank account 1
Household,Kirana,Pani Puri packet + Bundi + chivda,180.0,Expense,INR,2017,11,13,Saving Bank account 1
Food,Milk,milk 1lit varna,70.0,Expense,INR,2017,11,13,Saving Bank account 1
Food,Grocery,onion 1 kg + half kg potato,50.0,Expense,INR,2017,11,13,Saving Bank account 1
Household,Kirana,Maggie + lizol,268.0,Expense,INR,2017,11,13,Credit Card
Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR,2017,11,13,Saving Bank account 1
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR,2017,10,29,Saving Bank account 1
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR,2017,10,29,Credit Card
subscription,Hotstar,subscription 1yr,795.49,Expense,INR,2017,10,29,Credit Card
Transportation,auto,Permanent Residence to bus stand,40.0,Expense,INR,2017,10,27,Cash
Transportation,auto,within city,50.0,Expense,INR,2017,10,26,Cash
Festivals,Diwali,Offering,50.0,Expense,INR,2017,10,26,Cash
Festivals,Diwali,Offering,10.0,Expense,INR,2017,10,26,Cash
Festivals,Diwali,Offering,500.0,Expense,INR,2017,10,26,Cash
Petty cash,Unknown,From Family,3000.0,Income,INR,2017,10,25,Saving Bank account 1
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR,2017,10,24,Saving Bank account 1
Food,snacks,Dahi,10.0,Expense,INR,2017,10,24,Cash
Household,Toiletries,Shampoo sachets,9.0,Expense,INR,2017,10,23,Cash
Apparel,Footwear,Slippers,220.0,Expense,INR,2017,10,23,Cash
Festivals,Diwali,Aakash kandil,200.0,Expense,INR,2017,10,23,Cash
Household,Toiletries,Dettol liquid handwash refill,99.0,Expense,INR,2017,10,23,Cash
Household,Kitchen,flour mill,27.0,Expense,INR,2017,10,23,Cash
Household,Kirana,Unknown,50.0,Expense,INR,2017,10,23,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,INR,2017,10,23,Saving Bank account 1
Transportation,auto,Current Residence to Place 1 bus stop highway,50.0,Expense,INR,2017,10,22,Cash
Other,Unknown,ipad cover + case,1888.0,Expense,INR,2017,10,21,Credit Card
Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Expense,INR,2017,10,21,Cash
maid,Unknown,Unknown,2000.0,Expense,INR,2017,10,21,Cash
Gift,Unknown,farewell contribution,200.0,Expense,INR,2017,10,20,Saving Bank account 1
Festivals,Diwali,Rangoli + stamp,20.0,Expense,INR,2017,10,20,Cash
Food,snacks,Gupta bhel,25.0,Expense,INR,2017,10,19,Cash
Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Expense,INR,2017,10,18,Credit Card
Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Expense,INR,2017,10,18,Credit Card
Petty cash,Unknown,From Family,3000.0,Income,INR,2017,10,17,Saving Bank account 1
Family,Pocket money,Unknown,70.0,Expense,INR,2017,10,13,Cash
Health,Medicine,Candid dusting powder,59.0,Expense,INR,2017,9,30,Saving Bank account 1
Household,Kirana,Supermart,155.0,Expense,INR,2017,9,30,Saving Bank account 1
Food,Grocery,vegetables,135.0,Expense,INR,2017,9,30,Saving Bank account 1
Food,Grocery,vegetables,30.0,Expense,INR,2017,9,30,Cash
Household,Kitchen,Cooktop installation+ base,600.0,Expense,INR,2017,9,30,Cash
Salary,Unknown,From workplace ,61578.0,Income,INR,2017,9,30,Saving Bank account 1
Interest,Unknown,interest paid,778.0,Income,INR,2017,9,30,Saving Bank account 1
Apparel,Laundry,clothes ironing : Rs 6 per item,60.0,Expense,INR,2017,9,29,Cash
Food,snacks,Gupta bhel,25.0,Expense,INR,2017,9,29,Cash
Food,Ice cream,Vanila cup,10.0,Expense,INR,2017,9,29,Cash
Health,Medicine,3 tablet Nor tz,21.0,Expense,INR,2017,9,29,Saving Bank account 1
subscription,Tata Sky,Current Residence - Tata Play recharge,215.0,Expense,INR,2017,9,28,Saving Bank account 1
Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2388.0,Expense,INR,2017,9,28,Saving Bank account 1
Household,Kirana,Unknown,312.0,Expense,INR,2017,9,27,Cash
Gpay Reward,Unknown,Unknown,6.0,Income,INR,2017,9,27,Saving Bank account 1
Gift,Unknown,farewell contribution,334.0,Expense,INR,2017,9,27,Saving Bank account 1
Food,fruits,half kg chiku,30.0,Expense,INR,2017,9,25,Saving Bank account 1
Food,fruits,Apple 2 kg (110) + Banana 1kg (80),300.0,Expense,INR,2017,9,25,Saving Bank account 1
Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,2017,9,24,Cash
Transportation,Train,Place 0 to WS return,10.0,Expense,INR,2017,9,24,Cash
Culture,Movie,2,560.0,Expense,INR,2017,9,24,Credit Card
Food,Sweets,Half kg pedhe,280.0,Expense,INR,2017,9,24,Cash
Beauty,grooming,hair cut,100.0,Expense,INR,2017,9,24,Saving Bank account 1
Food,Dinner,Chicken masala gravy,100.0,Expense,INR,2017,9,23,Saving Bank account 1
Other,Unknown,Umbrella cover repair,10.0,Expense,INR,2017,9,21,Cash
Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR,2017,9,21,Cash
Food,snacks,Vadapav,15.0,Expense,INR,2017,9,21,Cash
Food,Tea,Unknown,10.0,Expense,INR,2017,9,21,Cash
Transportation,Train,Place 0 to dadar return,30.0,Expense,INR,2017,9,21,Cash
Family,Pocket money,Unknown,70.0,Expense,INR,2017,9,21,Cash
Health,Health,Surgical gloves pair,20.0,Expense,INR,2017,9,20,Saving Bank account 1
Other,Unknown,CSR,100.0,Expense,INR,2017,9,20,Saving Bank account 1
Family,Pocket money,Unknown,20.0,Expense,INR,2017,9,20,Cash
Health,Medicine,Unknown,55.0,Expense,INR,2017,9,18,Saving Bank account 1
Food,fruits,half kg chiku,60.0,Expense,INR,2017,9,18,Cash
Food,fruits,Nariyal,55.0,Expense,INR,2017,9,18,Cash
Household,Kirana,Unknown,114.0,Expense,INR,2017,9,17,Saving Bank account 1
Health,Medicine,Unknown,151.0,Expense,INR,2017,9,17,Saving Bank account 1
Household,Kirana,Supermart,558.0,Expense,INR,2017,9,17,Credit Card
Food,Bread,Unknown,35.0,Expense,INR,2017,9,17,Saving Bank account 1
Food,Milk,1.5 lit milk ,99.0,Expense,INR,2017,9,17,Saving Bank account 1
Food,Dinner,Sugaran Kitchen,60.0,Expense,INR,2017,9,15,Cash
Food,Lunch,Unknown,130.0,Expense,INR,2017,9,15,Saving Bank account 1
Food,fruits,Nariyal,55.0,Expense,INR,2017,9,15,Cash
Health,Medicine,Unknown,373.0,Expense,INR,2017,9,15,Saving Bank account 1
Health,Hospital,Doctor Fees,150.0,Expense,INR,2017,9,15,Saving Bank account 1
Transportation,Travels,2 Place 2 to Place 1 - Novelty tour and travels,1400.0,Expense,INR,2017,9,15,Saving Bank account 1
Food,Tea,2 tea parcel,24.0,Expense,INR,2017,9,15,Saving Bank account 1
Food,breakfast,2 plates poha,50.0,Expense,INR,2017,9,15,Saving Bank account 1
Food,Milk,milk 1lit ,66.0,Expense,INR,2017,9,15,Saving Bank account 1
Food,Lunch,Unknown,282.0,Expense,INR,2017,9,14,Credit Card
subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,INR,2017,9,14,Saving Bank account 1
Food,Dinner,Sugaran Kitchen,110.0,Expense,INR,2017,9,13,Saving Bank account 1
Other,Unknown,Sms charges + GST,17.7,Expense,INR,2017,8,31,Saving Bank account 2
Household,Toiletries,Odonil,60.0,Expense,INR,2017,8,31,Cash
Household,Kirana,Honey small bottle,10.0,Expense,INR,2017,8,31,Cash
Household,Kirana,Janeyu,5.0,Expense,INR,2017,8,31,Cash
Household,Kirana,Nariyal,25.0,Expense,INR,2017,8,31,Cash
Gpay Reward,Unknown,Unknown,5.0,Income,INR,2017,8,31,Saving Bank account 1
Gpay Reward,Unknown,Unknown,14.0,Income,INR,2017,8,31,Saving Bank account 1
Food,Milk,1.5 lit milk ,99.0,Expense,INR,2017,8,31,Saving Bank account 1
Health,Medicine,5 Meftal spas,22.0,Expense,INR,2017,8,30,Saving Bank account 1
Salary,Unknown,From workplace ,61578.0,Income,INR,2017,8,30,Saving Bank account 1
Transportation,Taxi,Ola cab - Domestic airport T1 to Current Residence,640.0,Expense,INR,2017,8,29,Cash
Tourism,Trip,Misc expense,200.0,Expense,INR,2017,8,28,Cash
Food,snacks,2 chips packets,20.0,Expense,INR,2017,8,28,Cash
Tourism,Trip,Misc expense,100.0,Expense,INR,2017,8,27,Cash
Health,Medicine,Vicks inhaler,59.0,Expense,INR,2017,8,27,Cash
Transportation,auto,market to resort,200.0,Expense,INR,2017,8,27,Cash
Food,breakfast,Parle G chota pack,5.0,Expense,INR,2017,8,26,Cash
Maturity amount,Unknown,FD matured,61754.0,Income,INR,2017,8,26,Saving Bank account 1
Health,Medicine,strepsils 13 pills,39.0,Expense,INR,2017,8,25,Cash
Transportation,auto,Auto : Mahal to hotel,40.0,Expense,INR,2017,8,24,Cash
Food,Eating out,roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,325.0,Expense,INR,2017,8,24,Credit Card
Household,home decor,2 Bedsheets (1500 each),3000.0,Expense,INR,2017,8,24,Credit Card
Apparel,Clothing,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200.0,Expense,INR,2017,8,24,Credit Card
Food,Lunch,180 Chicken Sandwich + 120 vada pav & Samosa,300.0,Expense,INR,2017,8,23,Cash
Transportation,Taxi,Ola cab - Current Residence to Domestic airport T1,850.0,Expense,INR,2017,8,23,Cash
Family,Pocket money,Unknown,5000.0,Expense,INR,2017,8,22,Cash
Household,Kitchen,Mahanagar Gas connection installation,300.0,Expense,INR,2017,8,22,Cash
Household,Appliances,Selfie stick Bluetooth tripod,280.0,Expense,INR,2017,8,21,Saving Bank account 1
Beauty,grooming,Shaving,50.0,Expense,INR,2017,8,21,Saving Bank account 1
Food,Grocery,1.5 kg onions,33.0,Expense,INR,2017,8,21,Saving Bank account 1
Beauty,Accessories,Lens cleaner,80.0,Expense,INR,2017,8,21,Saving Bank account 1
Education,Stationary,15 fevistick + 12 xerox2 & print2,27.0,Expense,INR,2017,8,21,Saving Bank account 1
Food,Ice cream,Baskin Robbins,166.0,Expense,INR,2017,8,20,Credit Card
Food,Lunch,280 chicken dum biryani+ 200 paneer tikka laziz + GST,504.0,Expense,INR,2017,8,20,Credit Card
Transportation,auto,BKC to kurla station,60.0,Expense,INR,2017,8,20,Cash
Transportation,Taxi,Ola cab - siddhivinayak to BKC,361.0,Expense,INR,2017,8,20,Saving Bank account 1
Transportation,Taxi,Dadar West to siddhivinayak,25.0,Expense,INR,2017,8,20,Cash
Transportation,Train,2 Place 0 to dadar return,60.0,Expense,INR,2017,8,20,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,2017,8,20,Cash
Apparel,Laundry,clothes ironing : Rs 6 per item,48.0,Expense,INR,2017,8,20,Cash
Other,Unknown,Mobile cover moto G5 plus,239.0,Expense,INR,2017,8,20,Credit Card
Household,Furniture,Foldable wardrobe,569.0,Expense,INR,2017,8,20,Credit Card
Household,Appliances,2 locks for bags,60.0,Expense,INR,2017,8,19,Cash
Household,Kirana,Colgate max fresh small,20.0,Expense,INR,2017,8,19,Cash
Household,Kirana,Dettol sanitizer,45.0,Expense,INR,2017,8,19,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,217.0,Expense,INR,2017,8,19,Saving Bank account 1
Family,Pocket money,Unknown,100.0,Expense,INR,2017,8,18,Cash
maid,Unknown,Unknown,1020.0,Expense,INR,2017,8,17,Cash
Household,Kirana,Sugar 1kg Rs.55 + shengdana Rs.33,88.0,Expense,INR,2017,8,17,Cash
Food,snacks,2 Bhaji pav + 1 vadapav,45.0,Expense,INR,2017,8,17,Cash
Household,Appliances,Wifi Router TP link,1400.0,Expense,INR,2017,8,15,Credit Card
Food,Milk,1.5 lit milk ,99.0,Expense,INR,2017,8,15,Saving Bank account 1
Household,Appliances,Steam machine,320.0,Expense,INR,2017,8,14,Credit Card
Household,Kirana,Biscuits+ onions,112.0,Expense,INR,2017,8,14,Credit Card
Food,Dinner,Catering Service:Chicken masala (90)+2 chapati (10),100.0,Expense,INR,2017,7,31,Saving Bank account 1
Transportation,auto,ola auto - Current Residence to McD,65.0,Expense,INR,2017,7,31,Cash
Food,Eggs,4 eggs,22.0,Expense,INR,2017,7,31,Saving Bank account 1
Gpay Reward,Unknown,Unknown,6.0,Income,INR,2017,7,30,Saving Bank account 1
Food,Grocery,Dahi 2 packets,20.0,Expense,INR,2017,7,30,Cash
Transportation,Travels,2 Neeta travels : Place A to pune,895.0,Expense,INR,2017,7,30,Saving Bank account 1
Household,Appliances,Laptop repair,1000.0,Expense,INR,2017,7,30,Cash
Household,Appliances,Laptop repair ( 128gb SSD rs 2200+ 500gb HDD Rs.1800 + Msoffice+ windows),3000.0,Expense,INR,2017,7,30,Saving Bank account 1
Food,snacks,Chicken roll kasha,100.0,Expense,INR,2017,7,30,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2017,7,30,Cash
Salary,Unknown,From workplace ,61578.0,Income,INR,2017,7,30,Saving Bank account 1
Food,Milk,milk 1lit ,64.0,Expense,INR,2017,7,29,Saving Bank account 1
Health,Medicine,Hospital consultation,556.0,Expense,INR,2017,7,29,Credit Card
Transportation,auto,ola auto - Current Residence to hospital Place 6,97.0,Expense,INR,2017,7,29,Saving Bank account 1
Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,2017,7,28,Cash
Health,Medicine,Hospital consultation,167.0,Expense,INR,2017,7,28,Credit Card
Health,Hospital,Hospital consultation,3050.0,Expense,INR,2017,7,28,Credit Card
Transportation,Train,2 Place 0 to Place 6 return,20.0,Expense,INR,2017,7,28,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,2017,7,28,Cash
Food,Dinner,Non veg overloaded pizza,215.0,Expense,INR,2017,7,27,Credit Card
Food,Lunch,Chicken lollypop 4 pcs,203.0,Expense,INR,2017,7,27,Credit Card
Household,Appliances,Distilled water refill Inverter (Rs.100 given by Family),200.0,Expense,INR,2017,7,27,Cash
Maturity amount,Unknown,RD2 matured,40326.0,Income,INR,2017,7,27,Deposit
Maturity amount,Unknown,RD1 matured,40326.0,Income,INR,2017,7,27,Deposit
